
Generated at: 2022/03/05 19:08:00
mirDIP version: 5.0.2.3.
Database version: 5.0.2.2



Gene Symbol     - 
Micro RNA       - hsa-miR-126-5p,hsa-miR-126-3p,hsa-miR-138,hsa-miR-146b-5p,hsa-miR-205-5p,hsa-miR-205-3p,hsa-miR-30a-5p,hsa-miR-30a-3p,hsa-miR-30d-5p,hsa-miR-30d-3p,hsa-miR-31-5p,hsa-miR-31-3p,hsa-miR-34c-3p,hsa-miR-34c-5p,hsa-miR-652-5p,hsa-miR-652-3p
Minimum Score   - Very High


MicroRNAs input verification: (1)
Provided Gene Symbol	Suggestion	Updated Symbol at Database
hsa-miR-138	not in database for selected minimum score or unknow microRNA	

Note: Suggested mircoRNAs may NOT be found in database.


Results (2506) 
Gene Symbol	Uniprot	Pseudogene	MicroRNA	Integrated Score	Number of Sources	Score Class	Sources
MKRN3	Q13064		hsa-miR-30d-5p	0.869484768622314	10	Very High	Cupid|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|TargetScan_v7_2
PIP4K2A	P48426		hsa-miR-30a-5p	0.867943866286638	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
TNRC6A	Q8NDV7		hsa-miR-30a-5p	0.866854695888307	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|mirzag|TargetScan_v7_2
SCN2A	Q99250		hsa-miR-30a-5p	0.86642640113244	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
SCN2A	Q99250		hsa-miR-30d-5p	0.866082276064704	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
LGR4	Q9BXB1		hsa-miR-34c-5p	0.865617675923971	15	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
TNRC6A	Q8NDV7		hsa-miR-30d-5p	0.863363099468317	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|mirzag|TargetScan_v7_2
ANKRA2	Q9H9E1		hsa-miR-30d-5p	0.862618581482325	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|TargetScan_v7_2
B3GNT5	Q9BYG0		hsa-miR-30a-5p	0.862452848092908	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
RFX6	Q8HWS3		hsa-miR-30a-5p	0.862117768616209	10	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|TargetScan_v7_2
GABRB1	P18505		hsa-miR-30d-5p	0.861629808785212	10	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|TargetScan_v7_2
DLL1	O00548		hsa-miR-34c-5p	0.859706261419778	13	Very High	Cupid|MirTar2|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
MIER3	Q7Z3K6		hsa-miR-30d-5p	0.857935202709489	14	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
ANKRA2	Q9H9E1		hsa-miR-30a-5p	0.85772286449875	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|TargetScan_v7_2
FAM43A	Q8N2R8		hsa-miR-30d-5p	0.857595787429411	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|mirzag|TargetScan_v7_2
B3GNT5	Q9BYG0		hsa-miR-30d-5p	0.857193005919748	11	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
CCNE2	O96020		hsa-miR-30a-5p	0.855293734675138	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
IRAK1	P51617		hsa-miR-146b-5p	0.854933368491829	14	Very High	MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirCoX|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
PPP1R11	O60927		hsa-miR-34c-5p	0.854846013923694	12	Very High	Cupid|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
CCNE2	O96020		hsa-miR-30d-5p	0.854177126132904	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
MIER3	Q7Z3K6		hsa-miR-30a-5p	0.853202523833416	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
FAM43A	Q8N2R8		hsa-miR-30a-5p	0.852150199145232	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|mirzag|TargetScan_v7_2
FLOT2	Q14254		hsa-miR-34c-5p	0.851237214931175	15	Very High	MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
PTPN13	Q12923		hsa-miR-30a-5p	0.850601478575598	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
FAM76A	Q8TAV0		hsa-miR-34c-5p	0.850538549526187	15	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
NAV3	Q8IVL0		hsa-miR-34c-5p	0.849247892683019	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
EED	O75530		hsa-miR-30a-5p	0.846363778558563	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
FOXP1	Q9H334		hsa-miR-34c-5p	0.846020491065832	16	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
PTPN13	Q12923		hsa-miR-30d-5p	0.843101897959142	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
TWF1	Q12792		hsa-miR-30d-5p	0.842928515788851	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
DESI2	Q9BSY9		hsa-miR-30d-5p	0.842419621521056	13	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
PTGFRN	Q9P2B2		hsa-miR-30d-5p	0.841870465490651	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
EED	O75530		hsa-miR-30d-5p	0.841820159087889	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
CHD1	O14646		hsa-miR-30a-5p	0.841458822393122	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
PTGFRN	Q9P2B2		hsa-miR-30a-5p	0.841434621237999	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
CHD1	O14646		hsa-miR-30d-5p	0.840616353420137	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
DESI2	Q9BSY9		hsa-miR-30a-5p	0.840408803800149	13	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
MGAT4A	Q9UM21		hsa-miR-34c-5p	0.839449202920927	14	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
TWF1	Q12792		hsa-miR-30a-5p	0.839371103698171	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
NT5E	P21589		hsa-miR-30a-5p	0.839336544805352	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
GALNT7	Q86SF2		hsa-miR-30d-5p	0.838775648981024	13	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
PDGFRA	P16234		hsa-miR-34c-5p	0.837819209433018	14	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
PDE7A	Q13946		hsa-miR-30a-5p	0.835566184337414	10	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|mirzag|TargetScan_v7_2
PRDM1	O75626		hsa-miR-30d-5p	0.83257974890131	13	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
BTBD3	Q9Y2F9		hsa-miR-205-5p	0.832530096531276	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
LRRC17	Q8N6Y2		hsa-miR-30a-5p	0.832154972125933	10	Very High	Cupid|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
SEPHS1	P49903		hsa-miR-31-5p	0.832009908362834	14	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
LRRC17	Q8N6Y2		hsa-miR-30d-5p	0.831788439575683	10	Very High	Cupid|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
TENT2	Q6PIY7		hsa-miR-30d-5p	0.831633993153409	10	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
E2F5	Q15329		hsa-miR-34c-5p	0.831101819579152	12	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|TargetScan_v7_2
TENT2	Q6PIY7		hsa-miR-30a-5p	0.830627039901995	10	Very High	Cupid|MBStar|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
TMEM181	Q9P2C4		hsa-miR-30a-5p	0.830515228568068	10	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
NEDD4	P46934		hsa-miR-30d-5p	0.830021993643175	12	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
FKBP1B	P68106		hsa-miR-34c-5p	0.829622212336825	13	Very High	Cupid|MirTar2|MultiMiTar|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
NEDD4	P46934		hsa-miR-30a-5p	0.829466418959859	12	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
PRDM1	O75626		hsa-miR-30a-5p	0.825300864897342	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
BRWD3	Q6RI45		hsa-miR-30d-5p	0.82427309118217	12	Very High	Cupid|MBStar|MirTar2|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
SGPP1	Q9BX95		hsa-miR-34c-5p	0.824204493591484	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|TargetScan_v7_2
MEX3B	Q6ZN04		hsa-miR-30a-5p	0.824031134808324	11	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
LEF1	Q9UJU2		hsa-miR-34c-5p	0.823511363805776	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
TMEM181	Q9P2C4		hsa-miR-30d-5p	0.823467332354791	10	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
NR5A2	O00482		hsa-miR-31-5p	0.823265272872988	13	Very High	Cupid|MBStar|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
KLHL20	Q9Y2M5		hsa-miR-30d-5p	0.823252207609577	10	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
PEX5	P50542		hsa-miR-31-5p	0.82312025022171	15	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
SEC23IP	Q9Y6Y8		hsa-miR-146b-5p	0.822282578011138	15	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|mirCoX|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
RAD23B	P54727		hsa-miR-30d-5p	0.82217378011526	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
KLHL20	Q9Y2M5		hsa-miR-30a-5p	0.821686075917521	10	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
WWC2	Q6AWC2		hsa-miR-146b-5p	0.821630966664907	15	Very High	Cupid|MBStar|MirTar2|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirCoX|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
RAB32	Q13637		hsa-miR-30a-5p	0.820607036210848	11	Very High	Cupid|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
YPEL2	Q96QA6		hsa-miR-30d-5p	0.820258117736791	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
GALNT7	Q86SF2		hsa-miR-30a-5p	0.819735356856891	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
STOX2	Q9P2F5		hsa-miR-30d-5p	0.819157320036152	11	Very High	Cupid|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
GABRA3	P34903		hsa-miR-34c-5p	0.818846921833742	13	Very High	Cupid|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
PLAGL2	Q9UPG8		hsa-miR-30a-5p	0.818573361614177	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
MEX3B	Q6ZN04		hsa-miR-30d-5p	0.818215623400142	10	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
NFAT5	O94916		hsa-miR-30d-5p	0.817516590373485	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
SNX16	P57768		hsa-miR-30a-5p	0.816402434719283	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
PTP4A1	Q93096		hsa-miR-30a-5p	0.816350169745683	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
STOX2	Q9P2F5		hsa-miR-30a-5p	0.816207086460635	11	Very High	Cupid|MirTar2|PACCMIT|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
BRWD3	Q6RI45		hsa-miR-30a-5p	0.815430340758027	12	Very High	Cupid|MBStar|MirTar2|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
STIM2	Q9P246		hsa-miR-30d-5p	0.815234223553785	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
RFX7	Q2KHR2		hsa-miR-30d-5p	0.815184127793845	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
FZD3	Q9NPG1		hsa-miR-30d-5p	0.814938332212558	10	Very High	Cupid|MBStar|MirTar2|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
CELSR3	Q9NYQ7		hsa-miR-30a-5p	0.814186719136134	11	Very High	Cupid|MBStar|MirTar2|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
LRRC8D	Q7L1W4		hsa-miR-30a-5p	0.813544026396918	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
